,Actual,Forecasted
0,222.5800018310547,222.6315054184726
1,222.49000549316406,222.90525540949855
2,222.5399932861328,221.7244026152905
3,222.4199981689453,222.19400075709234
4,222.44000244140625,221.9124936598841
5,222.5500030517578,220.56449442240213
6,222.5800018310547,221.0662600481321
7,222.88999938964844,220.6486899570627
8,223.0399932861328,223.8456406629798
9,222.77999877929688,221.10133891864726
10,222.80999755859375,222.68009807449664
11,222.88009643554688,222.7911721815922
12,223.0399932861328,221.40747392120034
13,222.97999572753906,221.79003812453016
14,222.65499877929688,223.0699504729992
15,222.5,223.51478280037296
16,222.75999450683594,223.61771891089955
17,222.63999938964844,220.08381515345357
18,222.6199951171875,222.70768472496502
19,222.86000061035156,221.88406553039843
20,223.15499877929688,222.63518365345277
21,223.13999938964844,222.79888984214
22,223.389892578125,222.52972511488898
23,223.29249572753906,222.52632979484298
24,223.27499389648438,222.6005630316553
25,223.3300018310547,223.35741538771933
26,223.16000366210938,223.21589885889907
27,223.25999450683594,222.59067646893442
28,223.3800048828125,223.2539646023883
29,223.05999755859375,223.1901911114289
30,223.00999450683594,221.96012976502942
31,223.11880493164062,222.7401686324226
32,223.05999755859375,222.5321310212043
33,223.06500244140625,220.91449755031206
34,222.82000732421875,223.06525978881038
35,222.6999969482422,223.2690163157217
36,222.84320068359375,221.9117707853282
37,222.85000610351562,220.20214218038888
38,222.9949951171875,223.70642984481685
39,222.7899932861328,223.15176546665265
40,223.00999450683594,222.54323794190108
41,222.99000549316406,222.4673989152003
42,222.66000366210938,222.3369010574061
43,222.75,222.04220190215202
44,222.60000610351562,222.71510982885
45,222.35000610351562,221.2735375369088
46,222.0800018310547,223.77238759935813
47,222.3300018310547,220.5580355023533
48,222.33970642089844,223.28432306321287
49,222.26499938964844,223.01460681775052
50,222.30499267578125,222.6393900670625
51,222.2100067138672,222.66867686499427
52,222.32000732421875,222.21308377905527
53,222.25360107421875,221.74986896800306
54,222.36000061035156,221.71844886335614
55,222.35000610351562,223.03026516280258
56,222.5399932861328,221.88000616484962
57,222.60049438476562,221.87511202509233
58,222.52000427246094,222.76760535869067
59,222.6699981689453,221.9000925107647
60,222.7100067138672,220.79057155770838
61,222.7100067138672,222.80972015310775
62,222.87010192871094,222.4894487923048
63,222.8800048828125,221.32383450232163
64,223.00999450683594,222.73886652870067
65,223.05999755859375,222.26223686931058
66,223.0,221.8351777149289
67,222.94000244140625,222.8185691282108
68,223.02000427246094,221.6040034632271
69,222.8699951171875,221.50813690566963
70,222.97500610351562,222.59297384357
71,223.0800018310547,222.41798799390392
72,223.1649932861328,222.18599398870668
73,222.99000549316406,221.5031663326353
74,223.1199951171875,219.99603348072196
75,223.17999267578125,222.89371832436183
76,223.2899932861328,222.8276634592991
77,223.25999450683594,220.20146873057274
78,223.2801971435547,222.1567295249236
79,223.3000030517578,221.91690788612712
80,223.4199981689453,221.3578241871703
81,223.5500030517578,222.5508096693569
82,223.51499938964844,222.18263347581313
83,223.5800018310547,222.1401592098826
84,223.7449951171875,223.31087265049567
85,223.5800018310547,223.01790305841675
86,223.6699981689453,222.90588656516027
87,223.6999969482422,220.26164326657187
88,223.7100067138672,222.64827438993404
89,223.6699981689453,221.76611816348628
90,223.59010314941406,222.07069325861065
91,223.6540069580078,222.12228098296785
92,223.5659942626953,222.65808361664597
93,223.35000610351562,222.2568362203576
94,223.36990356445312,223.02175763859663
95,223.35000610351562,221.8885291197037
96,223.3800048828125,220.588095620154
97,223.6699981689453,222.775146051174
98,223.55499267578125,222.25039342717676
99,223.24000549316406,223.0232369131924
100,223.35000610351562,222.67265163748428
101,223.47999572753906,222.85184173224906
102,223.5500030517578,222.29746471603661
103,223.55999755859375,222.3852422173833
104,223.50999450683594,223.2957524827518
105,223.5449981689453,221.92146268278069
106,223.58999633789062,222.1004916739162
107,223.60000610351562,220.50604639264145
108,223.58999633789062,223.51786906423706
109,223.64019775390625,220.72805792190155
110,223.6999969482422,222.3738310217465
111,223.69000244140625,222.82945440909643
112,223.5836944580078,222.36650428632976
113,223.38999938964844,221.11182274093574
114,223.4199981689453,223.31842511135616
115,223.3800048828125,223.46551109651395
116,223.5399932861328,221.31013000619797
117,223.54769897460938,221.33560941782457
118,223.5500030517578,222.2892532724771
119,223.4499969482422,222.87077980056856
120,223.49000549316406,222.80039716592546
121,223.68499755859375,222.80336574372302
122,223.58999633789062,222.28327693911157
123,223.69000244140625,221.75026633868455
124,223.69500732421875,222.58614029602282
125,223.6999969482422,223.26533812246294
126,223.7100067138672,223.8607893543828
127,223.69000244140625,220.2154763280386
128,223.72500610351562,223.68732011091174
129,223.78500366210938,223.9761254286262
130,223.77999877929688,220.8169688212154
131,223.72500610351562,222.8520302317173
132,223.75,221.94526857822285
133,223.81500244140625,222.2647677409864
134,223.8000030517578,222.64000665334987
135,223.8000030517578,223.11539331000384
136,223.99000549316406,223.7073675594877
137,223.9600067138672,221.6075386272669
138,223.8300018310547,222.83662169128158
139,223.875,220.1303346984377
140,223.7899932861328,222.46215951010964
141,223.66000366210938,222.9849317627365
142,223.52999877929688,222.67478902819715
143,223.59500122070312,221.57396350237164
