,Datetime,Open
1121,2024-10-03 09:45:00,225.97999572753906
1122,2024-10-03 09:46:00,225.6699981689453
1123,2024-10-03 09:48:00,225.9550018310547
1124,2024-10-03 09:49:00,226.11000061035156
1125,2024-10-03 09:50:00,226.0800018310547
1126,2024-10-03 09:51:00,226.3800048828125
1127,2024-10-03 09:52:00,226.16000366210938
1128,2024-10-03 09:53:00,226.13999938964844
1129,2024-10-03 09:54:00,226.25999450683594
1130,2024-10-03 09:55:00,226.27000427246094
1131,2024-10-03 09:56:00,226.48500061035156
1132,2024-10-03 09:57:00,226.55999755859375
1133,2024-10-03 09:58:00,226.61000061035156
1134,2024-10-03 09:59:00,226.4499969482422
1135,2024-10-03 10:00:00,226.30999755859375
1136,2024-10-03 10:01:00,226.61000061035156
1137,2024-10-03 10:02:00,226.75
1138,2024-10-03 10:03:00,226.47999572753906
1139,2024-10-03 10:04:00,226.35000610351562
1140,2024-10-03 10:05:00,226.5301055908203
1141,2024-10-03 10:06:00,226.5424041748047
1142,2024-10-03 10:07:00,226.60000610351562
1143,2024-10-03 10:08:00,226.35000610351562
1144,2024-10-03 10:09:00,226.3000030517578
1145,2024-10-03 10:10:00,226.39999389648438
1146,2024-10-03 10:11:00,226.3800048828125
1147,2024-10-03 10:12:00,226.24000549316406
1148,2024-10-03 10:13:00,226.1649932861328
1149,2024-10-03 10:14:00,225.4250030517578
1150,2024-10-03 10:15:00,225.7050018310547
1151,2024-10-03 10:16:00,225.52000427246094
1152,2024-10-03 10:17:00,225.7100067138672
1153,2024-10-03 10:18:00,225.75999450683594
1154,2024-10-03 10:19:00,225.6699981689453
1155,2024-10-03 10:20:00,225.49000549316406
1156,2024-10-03 10:21:00,225.2100067138672
1157,2024-10-03 10:22:00,225.22999572753906
1158,2024-10-03 10:23:00,224.8300018310547
1159,2024-10-03 10:24:00,225.1300048828125
1160,2024-10-03 10:25:00,225.0399932861328
1161,2024-10-03 10:26:00,224.9499969482422
1162,2024-10-03 10:27:00,224.9600067138672
1163,2024-10-03 10:28:00,224.96929931640625
1164,2024-10-03 10:29:00,224.97999572753906
1165,2024-10-03 10:30:00,224.80999755859375
1166,2024-10-03 10:31:00,224.66229248046875
1167,2024-10-03 10:32:00,224.7899932861328
1168,2024-10-03 10:33:00,225.1300048828125
1169,2024-10-03 10:34:00,225.30999755859375
1170,2024-10-03 10:35:00,225.4600067138672
1171,2024-10-03 10:36:00,225.42999267578125
1172,2024-10-03 10:37:00,225.36000061035156
1173,2024-10-03 10:38:00,225.32000732421875
1174,2024-10-03 10:39:00,225.25999450683594
