time,Open
2024-09-30 04:00:00,227.71
2024-09-30 04:01:00,228.26
2024-09-30 04:02:00,228.36
2024-09-30 04:03:00,228.55
2024-09-30 04:04:00,
2024-09-30 04:05:00,228.39
2024-09-30 04:06:00,228.5
2024-09-30 04:07:00,228.45
2024-09-30 04:08:00,228.42
2024-09-30 04:09:00,228.45
2024-09-30 04:10:00,228.52
2024-09-30 04:11:00,228.55
2024-09-30 04:12:00,
2024-09-30 04:13:00,228.55
2024-09-30 04:14:00,
2024-09-30 04:15:00,228.51
2024-09-30 04:16:00,228.54
2024-09-30 04:17:00,228.6
2024-09-30 04:18:00,228.53
2024-09-30 04:19:00,228.61
2024-09-30 04:20:00,
2024-09-30 04:21:00,228.72
2024-09-30 04:22:00,228.67
2024-09-30 04:23:00,
2024-09-30 04:24:00,228.8
2024-09-30 04:25:00,228.86
2024-09-30 04:26:00,
2024-09-30 04:27:00,229.1
2024-09-30 04:28:00,229.14
2024-09-30 04:29:00,229.3
2024-09-30 04:30:00,229.33
2024-09-30 04:31:00,229.3
2024-09-30 04:32:00,229.09
2024-09-30 04:33:00,229.03
2024-09-30 04:34:00,229.02
2024-09-30 04:35:00,228.96
2024-09-30 04:36:00,228.94
2024-09-30 04:37:00,229.09
2024-09-30 04:38:00,229.04
2024-09-30 04:39:00,
2024-09-30 04:40:00,
2024-09-30 04:41:00,229.1
2024-09-30 04:42:00,
2024-09-30 04:43:00,229.02
2024-09-30 04:44:00,
2024-09-30 04:45:00,
2024-09-30 04:46:00,
2024-09-30 04:47:00,229.0
2024-09-30 04:48:00,
2024-09-30 04:49:00,
2024-09-30 04:50:00,
2024-09-30 04:51:00,229.03
2024-09-30 04:52:00,229.02
2024-09-30 04:53:00,
2024-09-30 04:54:00,229.02
2024-09-30 04:55:00,229.01
2024-09-30 04:56:00,229.01
2024-09-30 04:57:00,229.02
2024-09-30 04:58:00,
2024-09-30 04:59:00,
2024-09-30 05:00:00,229.09
2024-09-30 05:01:00,229.05
2024-09-30 05:02:00,
2024-09-30 05:03:00,
2024-09-30 05:04:00,
2024-09-30 05:05:00,
2024-09-30 05:06:00,229.05
2024-09-30 05:07:00,229.1
2024-09-30 05:08:00,229.12
2024-09-30 05:09:00,229.15
2024-09-30 05:10:00,
2024-09-30 05:11:00,229.17
2024-09-30 05:12:00,229.15
2024-09-30 05:13:00,
2024-09-30 05:14:00,
2024-09-30 05:15:00,229.15
2024-09-30 05:16:00,229.15
2024-09-30 05:17:00,229.23
2024-09-30 05:18:00,229.22
2024-09-30 05:19:00,229.4
2024-09-30 05:20:00,229.25
2024-09-30 05:21:00,229.3
2024-09-30 05:22:00,229.26
2024-09-30 05:23:00,229.31
2024-09-30 05:24:00,229.62
2024-09-30 05:25:00,229.8
2024-09-30 05:26:00,229.72
2024-09-30 05:27:00,230.01
2024-09-30 05:28:00,229.92
2024-09-30 05:29:00,229.83
2024-09-30 05:30:00,229.82
2024-09-30 05:31:00,229.93
2024-09-30 05:32:00,229.85
2024-09-30 05:33:00,229.9
2024-09-30 05:34:00,229.84
2024-09-30 05:35:00,230.01
2024-09-30 05:36:00,229.87
2024-09-30 05:37:00,
2024-09-30 05:38:00,229.9
2024-09-30 05:39:00,229.87
2024-09-30 05:40:00,229.85
2024-09-30 05:41:00,229.85
2024-09-30 05:42:00,229.89
2024-09-30 05:43:00,229.97
2024-09-30 05:44:00,229.93
2024-09-30 05:45:00,229.92
2024-09-30 05:46:00,229.85
2024-09-30 05:47:00,229.86
2024-09-30 05:48:00,229.89
2024-09-30 05:49:00,229.91
2024-09-30 05:50:00,
2024-09-30 05:51:00,230.0
2024-09-30 05:52:00,229.98
2024-09-30 05:53:00,229.9
2024-09-30 05:54:00,229.86
2024-09-30 05:55:00,229.97
2024-09-30 05:56:00,229.86
2024-09-30 05:57:00,230.1
2024-09-30 05:58:00,230.19
2024-09-30 05:59:00,
2024-09-30 06:00:00,230.17
2024-09-30 06:01:00,230.14
2024-09-30 06:02:00,230.23
2024-09-30 06:03:00,230.25
2024-09-30 06:04:00,230.42
2024-09-30 06:05:00,230.39
2024-09-30 06:06:00,230.39
2024-09-30 06:07:00,230.3
2024-09-30 06:08:00,
2024-09-30 06:09:00,
2024-09-30 06:10:00,230.36
2024-09-30 06:11:00,230.03
2024-09-30 06:12:00,230.12
2024-09-30 06:13:00,230.17
2024-09-30 06:14:00,230.17
2024-09-30 06:15:00,230.17
2024-09-30 06:16:00,230.17
2024-09-30 06:17:00,230.21
2024-09-30 06:18:00,230.1
2024-09-30 06:19:00,230.1
2024-09-30 06:20:00,230.13
2024-09-30 06:21:00,230.11
2024-09-30 06:22:00,230.1
2024-09-30 06:23:00,230.05
2024-09-30 06:24:00,230.12
2024-09-30 06:25:00,230.1
2024-09-30 06:26:00,230.05
2024-09-30 06:27:00,230.19
2024-09-30 06:28:00,230.11
2024-09-30 06:29:00,
2024-09-30 06:30:00,230.12
2024-09-30 06:31:00,
2024-09-30 06:32:00,
2024-09-30 06:33:00,
2024-09-30 06:34:00,230.14
2024-09-30 06:35:00,230.1
2024-09-30 06:36:00,
2024-09-30 06:37:00,229.94
2024-09-30 06:38:00,229.95
2024-09-30 06:39:00,
2024-09-30 06:40:00,229.95
2024-09-30 06:41:00,
2024-09-30 06:42:00,
2024-09-30 06:43:00,
2024-09-30 06:44:00,229.93
2024-09-30 06:45:00,229.89
2024-09-30 06:46:00,229.89
2024-09-30 06:47:00,229.89
2024-09-30 06:48:00,
2024-09-30 06:49:00,229.89
2024-09-30 06:50:00,229.89
2024-09-30 06:51:00,
2024-09-30 06:52:00,229.89
2024-09-30 06:53:00,
2024-09-30 06:54:00,
2024-09-30 06:55:00,229.85
2024-09-30 06:56:00,229.82
2024-09-30 06:57:00,
2024-09-30 06:58:00,229.84
2024-09-30 06:59:00,229.9
2024-09-30 07:00:00,229.85
2024-09-30 07:01:00,229.76
2024-09-30 07:02:00,229.78
2024-09-30 07:03:00,229.85
2024-09-30 07:04:00,229.82
2024-09-30 07:05:00,229.82
2024-09-30 07:06:00,229.75
2024-09-30 07:07:00,229.77
2024-09-30 07:08:00,229.68
2024-09-30 07:09:00,229.71
2024-09-30 07:10:00,229.67
2024-09-30 07:11:00,229.61
2024-09-30 07:12:00,229.58
2024-09-30 07:13:00,229.51
2024-09-30 07:14:00,229.53
2024-09-30 07:15:00,229.32
2024-09-30 07:16:00,229.34
2024-09-30 07:17:00,229.29
2024-09-30 07:18:00,229.27
2024-09-30 07:19:00,229.5
2024-09-30 07:20:00,229.59
2024-09-30 07:21:00,229.74
2024-09-30 07:22:00,229.81
2024-09-30 07:23:00,229.81
2024-09-30 07:24:00,
2024-09-30 07:25:00,229.8
2024-09-30 07:26:00,229.52
2024-09-30 07:27:00,229.55
2024-09-30 07:28:00,229.6
2024-09-30 07:29:00,229.67
2024-09-30 07:30:00,229.5
2024-09-30 07:31:00,
2024-09-30 07:32:00,229.68
2024-09-30 07:33:00,229.66
2024-09-30 07:34:00,229.65
2024-09-30 07:35:00,229.63
2024-09-30 07:36:00,229.54
2024-09-30 07:37:00,229.53
2024-09-30 07:38:00,229.49
2024-09-30 07:39:00,
2024-09-30 07:40:00,229.37
2024-09-30 07:41:00,229.39
2024-09-30 07:42:00,229.53
2024-09-30 07:43:00,229.53
2024-09-30 07:44:00,
2024-09-30 07:45:00,229.49
2024-09-30 07:46:00,229.49
2024-09-30 07:47:00,
2024-09-30 07:48:00,229.39
2024-09-30 07:49:00,229.32
2024-09-30 07:50:00,229.17
2024-09-30 07:51:00,229.08
2024-09-30 07:52:00,229.1
2024-09-30 07:53:00,229.1
2024-09-30 07:54:00,229.28
2024-09-30 07:55:00,229.33
2024-09-30 07:56:00,229.44
2024-09-30 07:57:00,229.43
2024-09-30 07:58:00,229.35
2024-09-30 07:59:00,229.36
2024-09-30 08:00:00,229.4
2024-09-30 08:01:00,229.55
2024-09-30 08:02:00,229.39
2024-09-30 08:03:00,229.585
2024-09-30 08:04:00,229.57
2024-09-30 08:05:00,229.703
2024-09-30 08:06:00,229.68
2024-09-30 08:07:00,229.76
2024-09-30 08:08:00,229.84
2024-09-30 08:09:00,229.86
2024-09-30 08:10:00,229.87
2024-09-30 08:11:00,229.79
2024-09-30 08:12:00,229.78
2024-09-30 08:13:00,229.79
2024-09-30 08:14:00,229.72
2024-09-30 08:15:00,229.69
2024-09-30 08:16:00,229.735
2024-09-30 08:17:00,229.8
2024-09-30 08:18:00,229.79
2024-09-30 08:19:00,229.75
2024-09-30 08:20:00,229.77
2024-09-30 08:21:00,229.73
2024-09-30 08:22:00,229.81
2024-09-30 08:23:00,229.72
2024-09-30 08:24:00,229.8381
2024-09-30 08:25:00,229.815
2024-09-30 08:26:00,229.95
2024-09-30 08:27:00,229.99
2024-09-30 08:28:00,230.099
2024-09-30 08:29:00,230.0
2024-09-30 08:30:00,230.075
2024-09-30 08:31:00,230.05
2024-09-30 08:32:00,230.07
2024-09-30 08:33:00,230.07
2024-09-30 08:34:00,230.1
2024-09-30 08:35:00,230.07
2024-09-30 08:36:00,230.045
2024-09-30 08:37:00,230.33
2024-09-30 08:38:00,230.34
2024-09-30 08:39:00,230.345
2024-09-30 08:40:00,230.35
2024-09-30 08:41:00,230.285
2024-09-30 08:42:00,230.21
2024-09-30 08:43:00,230.1804
2024-09-30 08:44:00,230.27
2024-09-30 08:45:00,230.0
2024-09-30 08:46:00,230.135
2024-09-30 08:47:00,230.02
2024-09-30 08:48:00,230.04
2024-09-30 08:49:00,230.22
2024-09-30 08:50:00,230.19
2024-09-30 08:51:00,230.2
2024-09-30 08:52:00,230.285
2024-09-30 08:53:00,230.289
2024-09-30 08:54:00,230.17
2024-09-30 08:55:00,230.27
2024-09-30 08:56:00,230.28
2024-09-30 08:57:00,230.35
2024-09-30 08:58:00,230.36
2024-09-30 08:59:00,230.3315
2024-09-30 09:00:00,230.36
2024-09-30 09:01:00,230.325
2024-09-30 09:02:00,230.3
2024-09-30 09:03:00,230.3
2024-09-30 09:04:00,230.33
2024-09-30 09:05:00,230.3395
2024-09-30 09:06:00,230.335
2024-09-30 09:07:00,230.35
2024-09-30 09:08:00,230.34
2024-09-30 09:09:00,230.31
2024-09-30 09:10:00,230.35
2024-09-30 09:11:00,230.34
2024-09-30 09:12:00,230.225
2024-09-30 09:13:00,230.1
2024-09-30 09:14:00,230.08
2024-09-30 09:15:00,230.084
2024-09-30 09:16:00,230.08
2024-09-30 09:17:00,230.05
2024-09-30 09:18:00,230.065
2024-09-30 09:19:00,230.03
2024-09-30 09:20:00,230.0848
2024-09-30 09:21:00,230.03
2024-09-30 09:22:00,230.04
2024-09-30 09:23:00,230.09
2024-09-30 09:24:00,229.99
2024-09-30 09:25:00,229.74
2024-09-30 09:26:00,229.48
2024-09-30 09:27:00,229.62
2024-09-30 09:28:00,229.99
2024-09-30 09:29:00,229.9874
2024-09-30 09:30:00,230.15499877929688
2024-09-30 09:31:00,231.02200317382812
2024-09-30 09:32:00,231.99000549316406
2024-09-30 09:33:00,231.7100067138672
2024-09-30 09:34:00,232.24000549316406
2024-09-30 09:35:00,232.2899932861328
2024-09-30 09:36:00,231.6649932861328
2024-09-30 09:37:00,231.96499633789062
2024-09-30 09:38:00,231.96499633789062
2024-09-30 09:39:00,232.09750366210938
2024-09-30 09:40:00,232.110107421875
2024-09-30 09:41:00,232.0904998779297
2024-09-30 09:42:00,231.80999755859375
2024-09-30 09:43:00,231.9199981689453
2024-09-30 09:44:00,231.9499969482422
2024-09-30 09:45:00,231.83999633789062
2024-09-30 09:46:00,231.63999938964844
2024-09-30 09:47:00,231.50999450683594
2024-09-30 09:48:00,231.67999267578125
2024-09-30 09:49:00,231.69970703125
2024-09-30 09:50:00,231.6300048828125
2024-09-30 09:51:00,231.44000244140625
2024-09-30 09:52:00,231.32000732421875
2024-09-30 09:53:00,231.36439514160156
2024-09-30 09:54:00,231.51499938964844
2024-09-30 09:55:00,231.27999877929688
2024-09-30 09:56:00,231.32139587402344
2024-09-30 09:57:00,231.39010620117188
2024-09-30 09:58:00,231.4445037841797
2024-09-30 09:59:00,231.1649932861328
2024-09-30 10:00:00,230.9250030517578
2024-09-30 10:01:00,231.05079650878906
2024-09-30 10:02:00,231.2799072265625
2024-09-30 10:03:00,231.28990173339844
2024-09-30 10:04:00,231.22000122070312
2024-09-30 10:05:00,231.1009063720703
2024-09-30 10:06:00,230.8800048828125
2024-09-30 10:07:00,230.8800048828125
2024-09-30 10:08:00,230.85000610351562
2024-09-30 10:09:00,230.7050018310547
2024-09-30 10:10:00,230.83990478515625
2024-09-30 10:11:00,230.77499389648438
2024-09-30 10:12:00,230.7100067138672
2024-09-30 10:13:00,230.6999053955078
2024-09-30 10:14:00,230.73500061035156
2024-09-30 10:15:00,230.63999938964844
2024-09-30 10:16:00,230.4199981689453
2024-09-30 10:17:00,230.58999633789062
2024-09-30 10:18:00,230.57000732421875
2024-09-30 10:19:00,230.67999267578125
2024-09-30 10:20:00,230.58999633789062
2024-09-30 10:21:00,230.60499572753906
2024-09-30 10:22:00,230.6999969482422
2024-09-30 10:23:00,230.42999267578125
2024-09-30 10:24:00,230.55799865722656
2024-09-30 10:25:00,230.5399932861328
2024-09-30 10:26:00,230.485595703125
2024-09-30 10:27:00,230.63499450683594
2024-09-30 10:28:00,230.63999938964844
2024-09-30 10:29:00,230.85000610351562
2024-09-30 10:30:00,230.97000122070312
2024-09-30 10:31:00,231.11990356445312
2024-09-30 10:32:00,231.08999633789062
2024-09-30 10:33:00,230.847900390625
2024-09-30 10:34:00,231.00140380859375
2024-09-30 10:35:00,231.1999969482422
2024-09-30 10:36:00,231.3699951171875
2024-09-30 10:37:00,231.30999755859375
2024-09-30 10:38:00,231.31500244140625
2024-09-30 10:39:00,231.2050018310547
2024-09-30 10:40:00,231.1199951171875
2024-09-30 10:41:00,231.22999572753906
2024-09-30 10:42:00,231.27999877929688
2024-09-30 10:43:00,231.197998046875
2024-09-30 10:44:00,231.2100067138672
2024-09-30 10:45:00,231.1199951171875
2024-09-30 10:46:00,231.27000427246094
2024-09-30 10:47:00,231.27999877929688
2024-09-30 10:48:00,231.27999877929688
2024-09-30 10:49:00,231.5500030517578
2024-09-30 10:50:00,231.4600067138672
2024-09-30 10:51:00,231.5050048828125
2024-09-30 10:52:00,231.52000427246094
2024-09-30 10:53:00,231.57000732421875
2024-09-30 10:54:00,231.66000366210938
2024-09-30 10:55:00,231.5500030517578
2024-09-30 10:56:00,231.67269897460938
2024-09-30 10:57:00,231.57000732421875
2024-09-30 10:58:00,231.6199951171875
2024-09-30 10:59:00,231.6479949951172
2024-09-30 11:00:00,231.60000610351562
2024-09-30 11:01:00,231.64999389648438
2024-09-30 11:02:00,231.57000732421875
2024-09-30 11:03:00,231.63999938964844
